val_loss,epoch,step,train_loss
0.6932305693626404,0,12,
0.6912378668785095,1,25,
0.6892468333244324,2,38,
,3,49,0.6907464861869812
0.6871662735939026,3,51,
0.6851508617401123,4,64,
0.6831117272377014,5,77,
0.6811414361000061,6,90,
,7,99,0.6851627230644226
0.6792278289794922,7,103,
0.6771592497825623,8,116,
0.6751447319984436,9,129,
0.6731134653091431,10,142,
,11,149,0.6874830722808838
0.6709104180335999,11,155,
0.6687119007110596,12,168,
0.666624128818512,13,181,
0.664411187171936,14,194,
,15,199,0.6469009518623352
0.662331759929657,15,207,
0.6602519154548645,16,220,
0.6581886410713196,17,233,
0.6558921933174133,18,246,
,19,249,0.6173662543296814
0.6537702679634094,19,259,
0.6514936685562134,20,272,
0.6493401527404785,21,285,
0.6472110152244568,22,298,
,23,299,0.62771075963974
0.644818902015686,23,311,
0.6425750255584717,24,324,
0.6402847766876221,25,337,
,26,349,0.6323954463005066
0.638063371181488,26,350,
0.6356996297836304,27,363,
0.6332193613052368,28,376,
0.6307694911956787,29,389,
,30,399,0.6187224388122559
0.6281826496124268,30,402,
0.6257748007774353,31,415,
0.6231174468994141,32,428,
0.6205265522003174,33,441,
,34,449,0.6067132949829102
0.6177934408187866,34,454,
0.6149839162826538,35,467,
0.6121156811714172,36,480,
0.609293520450592,37,493,
,38,499,0.5770470499992371
0.6063114404678345,38,506,
0.6034393310546875,39,519,
0.6004533767700195,40,532,
0.5973197817802429,41,545,
,42,549,0.5622767806053162
0.5942613482475281,42,558,
0.5910908579826355,43,571,
0.5877465605735779,44,584,
0.5843603014945984,45,597,
,46,599,0.5630196928977966
0.5808669924736023,46,610,
0.577227771282196,47,623,
0.573594868183136,48,636,
,49,649,0.560274064540863
0.5698221325874329,49,649,
