epoch,metric,label
1,0.7061732411384583,train_loss
6,0.6981387734413147,train_loss
10,0.6986123919487,train_loss
15,0.6838808655738831,train_loss
19,0.7060803174972534,train_loss
24,0.6890448927879333,train_loss
29,0.6911945939064026,train_loss
33,0.6856865882873535,train_loss
38,0.6793293952941895,train_loss
43,0.6895290613174438,train_loss
47,0.6996083855628967,train_loss
0,0.6968483924865723,val_loss
1,0.6961449384689331,val_loss
2,0.6964547038078308,val_loss
3,0.6964503526687622,val_loss
4,0.6967107653617859,val_loss
5,0.6979934573173523,val_loss
6,0.6981084942817688,val_loss
7,0.6983387470245361,val_loss
8,0.6990996599197388,val_loss
9,0.7001345753669739,val_loss
10,0.7015859484672546,val_loss
11,0.7021923661231995,val_loss
12,0.7028813362121582,val_loss
13,0.7033227682113647,val_loss
14,0.7039865255355835,val_loss
15,0.7041933536529541,val_loss
16,0.7046681046485901,val_loss
17,0.705181360244751,val_loss
18,0.7064424157142639,val_loss
19,0.7067767977714539,val_loss
20,0.7067209482192993,val_loss
21,0.7073051333427429,val_loss
22,0.7080292701721191,val_loss
23,0.708525538444519,val_loss
24,0.7081213593482971,val_loss
25,0.7085911631584167,val_loss
26,0.708707869052887,val_loss
27,0.7089782953262329,val_loss
28,0.7092859745025635,val_loss
29,0.7102920413017273,val_loss
30,0.7106255888938904,val_loss
31,0.7116159200668335,val_loss
32,0.7121723294258118,val_loss
33,0.7117066383361816,val_loss
34,0.7123178839683533,val_loss
35,0.7124893665313721,val_loss
36,0.7131707668304443,val_loss
37,0.7136690020561218,val_loss
38,0.7129636406898499,val_loss
39,0.7137740850448608,val_loss
40,0.7139277458190918,val_loss
41,0.7134636640548706,val_loss
42,0.7145742774009705,val_loss
43,0.7142132520675659,val_loss
44,0.7145893573760986,val_loss
45,0.7140589356422424,val_loss
46,0.7134606838226318,val_loss
47,0.7132490277290344,val_loss
48,0.7134519219398499,val_loss
49,0.7132391929626465,val_loss
